country;2025;;;MAX value = 25700
Aruba;601;;;MIN value = 7
Afghanistan;67.5;;;
Angola;31.3;;;
Anguilla;167;;;
Albania;101;;;
Andorra;176;;;
UAE;160;;;
Argentina;16.4;;;
Armenia;104;;;
American Samoa;230;;;
Antigua and Barbuda;214;;;
Australia;3.51;;;
Austria;110;;;
Azerbaijan;126;;;
Burundi;555;;;
Belgium;388;;;
Benin;131;;;
Burkina Faso;88;;;
Bangladesh;1350;;;
Bulgaria;61.9;;;
Bahrain;2100;;;
Bahamas;75.2;;;
Bosnia and Herzegovina;61.3;;;
Belarus;44.3;;;
Belize;18.5;;;
Bermuda;1200;;;
Bolivia;11.6;;;
Brazil;25.5;;;
Barbados;657;;;
Brunei;80.9;;;
Bhutan;20.8;;;
Botswana;4.52;;;
Central African Republic;8.85;;;
Canada;4.41;;;
Switzerland;224;;;
Chile;26.4;;;
China;148;;;
Cote d'Ivoire;103;;;
Cameroon;64.1;;;
"""Congo, Dem. Rep.""";49.8;;;
"""Congo, Rep.""";19;;;
Cook Is;55.3;;;
Colombia;47.5;;;
Comoros;474;;;
Cape Verde;131;;;
Costa Rica;101;;;
Cuba;102;;;
Cayman Islands;315;;;
Cyprus;148;;;
Czech Republic;137;;;
Germany;241;;;
Djibouti;51.1;;;
Dominica;87.8;;;
Denmark;142;;;
Dominican Republic;238;;;
Algeria;19.9;;;
Ecuador;73.6;;;
Egypt;119;;;
Eritrea;29.8;;;
Western Sahara;2.26;;;
Spain;95.3;;;
Estonia;30.9;;;
Ethiopia;135;;;
Finland;18.6;;;
Fiji;51.1;;;
Falkland Is (Malvinas);0.285;;;
France;121;;;
Faeroe Islands;40.4;;;
"""Micronesia, Fed. Sts.""";162;;;
Gabon;10.1;;;
Guernsey;1010;;;
Isle of Man;147;;;
UK;287;;;
Georgia;54.8;;;
Ghana;154;;;
Gibraltar;4010;;;
Guinea;61.5;;;
Guadeloupe;230;;;
Gambia;279;;;
Guinea-Bissau;80;;;
Equatorial Guinea;69.1;;;
Greece;76;;;
Grenada;345;;;
Greenland;0.136;;;
Guatemala;174;;;
French Guiana;3.82;;;
Guam;312;;;
Guyana;4.25;;;
"""Hong Kong, China""";6730;;;
Honduras;101;;;
Holy See;1140;;;
Croatia;68.8;;;
Haiti;432;;;
Hungary;106;;;
Indonesia;150;;;
India;492;;;
Ireland;77.6;;;
Iran;56.7;;;
Iraq;108;;;
Iceland;3.97;;;
Israel;440;;;
Italy;200;;;
Jamaica;262;;;
Jersey;896;;;
Jordan;130;;;
Japan;327;;;
Kazakhstan;7.72;;;
Kenya;99.1;;;
Kyrgyz Republic;38;;;
Cambodia;98.6;;;
Kiribati;188;;;
St. Kitts and Nevis;180;;;
South Korea;522;;;
Kosovo;154;;;
Kuwait;282;;;
Lao;34.1;;;
Lebanon;572;;;
Liberia;59.5;;;
Libya;4.45;;;
St. Lucia;292;;;
Liechtenstein;251;;;
Sri Lanka;370;;;
Lesotho;77.8;;;
Lithuania;45.2;;;
Luxembourg;263;;;
Latvia;29.8;;;
"""Macao, China""";22600;;;
"""St. Martin (French part)""";471;;;
Morocco;86.1;;;
Monaco;25700;;;
Moldova;91.1;;;
Madagascar;56.3;;;
Maldives;1770;;;
Mexico;67.3;;;
Marshall Islands;202;;;
North Macedonia;72.8;;;
Mali;20.7;;;
Malta;1730;;;
Myanmar;84;;;
Montenegro;45.8;;;
Mongolia;2.26;;;
Northern Mariana Islands;95.3;;;
Mozambique;45.3;;;
Mauritania;5.16;;;
Montserrat;42.3;;;
Martinique;321;;;
Mauritius;625;;;
Malawi;235;;;
Malaysia;110;;;
Mayotte;899;;;
Namibia;3.76;;;
New Caledonia;16.2;;;
Niger;22;;;
Nigeria;261;;;
Nicaragua;58.2;;;
Niue;7;;;
Netherlands;545;;;
Curaçao;437;;;
Norway;18.5;;;
Nepal;201;;;
Nauru;601;;;
New Zealand;19.8;;;
Oman;17.8;;;
Pakistan;331;;;
Panama;61.6;;;
Peru;27;;;
Philippines;389;;;
Palau;38.4;;;
Papua New Guinea;23.8;;;
Poland;125;;;
Puerto Rico;372;;;
North Korea;221;;;
Portugal;113;;;
Paraguay;17.3;;;
Palestine;929;;;
French Polynesia;76.7;;;
Qatar;269;;;
Reunion;353;;;
Romania;82.2;;;
Russia;8.79;;;
Rwanda;602;;;
Saudi Arabia;16.1;;;
Sudan;29.3;;;
Senegal;98.3;;;
Singapore;8600;;;
"""St. Helena""";13.3;;;
Solomon Islands;29.1;;;
Sierra Leone;123;;;
El Salvador;307;;;
San Marino;550;;;
Somalia;31.3;;;
"""St.-Pierre-et-Miquelon""";24.2;;;
Serbia;87.2;;;
"""South Sudan""";21.6;;;
"""St. Barthélemy""";519;;;
Sao Tome and Principe;250;;;
Suriname;4.1;;;
Slovak Republic;112;;;
Slovenia;105;;;
Sweden;26.2;;;
Eswatini;72.3;;;
"""Sint Maarten (Dutch part)""";1290;;;
Seychelles;291;;;
Syria;139;;;
Turks and Caicos Islands;49.3;;;
Chad;16.7;;;
Togo;179;;;
Thailand;140;;;
Tajikistan;75.4;;;
Tokelau;217;;;
Turkmenistan;16.2;;;
Timor-Leste;95.4;;;
Tonga;160;;;
Trinidad and Tobago;295;;;
Tunisia;79.4;;;
Turkey;114;;;
Tuvalu;316;;;
Taiwan;653;;;
Tanzania;79.6;;;
Uganda;257;;;
Ukraine;67.3;;;
Uruguay;19.5;;;
USA;38;;;
Uzbekistan;87.1;;;
St. Vincent and the Grenadines;256;;;
Venezuela;31.1;;;
British Virgin Islands;258;;;
"""Virgin Islands (U.S.)""";240;;;
Vietnam;324;;;
Vanuatu;27.5;;;
Wallis et Futuna;80;;;
Samoa;77.5;;;
Yemen;79.1;;;
South Africa;53;;;
Zambia;29.5;;;
Zimbabwe;43.8;;;
